المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,الجنسية,الجنس,LESS THAN 15,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80 ABOVE
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الجنوبي,أردني,ذكر,1,39,332,618,229,51,8,3,3,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الجنوبي,غير أردني,أنثى,15,210,205,68,17,4,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الجنوبي,غير أردني,ذكر,0,27,173,249,75,3,6,0,7,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الغابة,أردني,أنثى,24,498,829,349,37,16,2,4,5,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الغابة,أردني,ذكر,10,33,398,810,368,61,12,3,2,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الغابة,غير أردني,أنثى,17,146,113,46,12,6,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الغابة,غير أردني,ذكر,0,20,107,123,24,7,0,0,2,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الامير الحسين بن عبدالله,أردني,أنثى,4,48,87,38,8,2,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الامير الحسين بن عبدالله,أردني,ذكر,0,3,31,77,36,9,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الامير الحسين بن عبدالله,غير أردني,أنثى,0,12,6,11,0,0,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الامير الحسين بن عبدالله,غير أردني,ذكر,0,6,7,15,6,0,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,المطار,أردني,أنثى,78,"1,109","1,102",390,64,27,15,8,1,0,0,0,1,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,المطار,أردني,ذكر,5,98,720,"1,000",416,101,32,7,2,0,1,0,1,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,المطار,غير أردني,أنثى,42,544,371,160,25,22,0,7,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,المطار,غير أردني,ذكر,0,25,363,481,195,43,17,5,0,2,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,حمزة,أردني,أنثى,244,"3,862","3,818","1,320",321,117,47,20,5,0,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,حمزة,أردني,ذكر,27,417,"2,807","3,302","1,263",344,87,19,17,12,3,3,3,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,حمزة,غير أردني,أنثى,264,"2,530","1,755",479,170,46,12,3,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,حمزة,غير أردني,ذكر,18,323,"2,170","2,629",976,275,77,10,10,7,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,الزهراء,أردني,أنثى,164,"2,329","2,301",790,214,91,25,12,3,0,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,الزهراء,أردني,ذكر,6,182,"1,530","2,139",845,201,52,19,6,4,0,1,2,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,الزهراء,غير أردني,أنثى,213,"1,665",951,327,77,45,11,11,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,الزهراء,غير أردني,ذكر,5,155,"1,338","1,409",568,158,43,9,7,0,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,المشيرفة,أردني,أنثى,11,200,102,30,4,4,1,0,1,0,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,المشيرفة,أردني,ذكر,0,31,151,105,21,3,4,1,0,0,0,1,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,المشيرفة,غير أردني,أنثى,0,81,18,7,0,0,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,المشيرفة,غير أردني,ذكر,0,18,100,85,12,35,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,حي جديد,أردني,أنثى,58,"1,021","1,243",323,63,40,9,1,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,حي جديد,أردني,ذكر,17,116,"1,092",924,275,54,16,12,4,2,1,4,0,1,0
العاصمة,ماركا,ماركا,ماركا,ماركا,حي جديد,غير أردني,أنثى,30,163,165,59,10,11,0,11,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,حي جديد,غير أردني,ذكر,1,56,170,149,52,17,0,7,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,النصر,النصر,الاميرالحسن,أردني,أنثى,218,"3,998","3,493","1,029",217,115,44,7,2,1,0,0,0,0,0
العاصمة,ماركا,ماركا,النصر,النصر,الاميرالحسن,أردني,ذكر,29,418,"2,826","3,281",978,228,70,11,8,3,0,3,2,1,0
العاصمة,ماركا,ماركا,النصر,النصر,الاميرالحسن,غير أردني,أنثى,189,"1,505",735,285,67,8,0,7,0,0,0,0,0,0,0
