محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي, الاعاقة السمعيه و/او النطقيه , الاعاقه الجسديه و /او الحركيه,الاعاقه شلل دماغي,الاعاقه العقليه,الاعاقه البصريه, الاعاقات  المتعدده, الاعاقات  الاخرى, الاعاقات  الغير مبينه
العاصمة,لواء وادي السير,قضاء وادي السير,بدر الجديدة,بدر الجديدة,الرباحية,0,7,2,7,0,3,1,0
العاصمة,لواء وادي السير,قضاء وادي السير,بدر الجديدة,بدر الجديدة,السويسة,2,0,0,0,0,0,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,بدر الجديدة,بدر الجديدة,الغروس,2,7,0,4,2,5,6,0
العاصمة,لواء وادي السير,قضاء وادي السير,بدر الجديدة,بدر الجديدة,ام الاسود,2,1,0,3,1,1,3,0
العاصمة,لواء وادي السير,قضاء وادي السير,بدر الجديدة,بدر الجديدة,بلال,2,6,2,5,0,2,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,بدر الجديدة,بدر الجديدة,زبدة,2,6,0,3,4,1,6,0
العاصمة,لواء وادي السير,قضاء وادي السير,عراق الامير,عراق الامير,عراق الامير,1,13,3,8,2,3,3,0
العاصمة,لواء وادي السير,قضاء وادي السير,مرج الحمام,مرج الحمام,الاول,2,3,0,3,0,4,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,مرج الحمام,مرج الحمام,الثالث,6,4,6,6,0,2,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,مرج الحمام,مرج الحمام,الثامن,3,12,1,4,4,3,2,0
العاصمة,لواء وادي السير,قضاء وادي السير,مرج الحمام,مرج الحمام,الثاني,7,1,2,4,1,2,1,0
العاصمة,لواء وادي السير,قضاء وادي السير,مرج الحمام,مرج الحمام,الخامس,7,16,6,11,5,4,2,2
العاصمة,لواء وادي السير,قضاء وادي السير,مرج الحمام,مرج الحمام,الرابع,2,0,1,5,1,4,2,0
العاصمة,لواء وادي السير,قضاء وادي السير,مرج الحمام,مرج الحمام,السابع,5,11,2,4,3,0,5,0
العاصمة,لواء وادي السير,قضاء وادي السير,مرج الحمام,مرج الحمام,السادس,5,13,7,4,2,7,5,0
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير, الصناعة,2,19,7,20,9,4,1,0
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الجندويل,14,25,7,32,6,12,8,0
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الدمينة,0,1,0,1,0,0,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الديار,2,8,1,5,1,1,3,0
