محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,gis block code,ذكر,انثى, المجموع
العاصمة,لواء سحاب,قضاء سحاب,قعفور,قعفور,قعفور,110610170101,24,2,26
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,الشميساني,110111110903,9018,9816,18834
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,المدينة الرياضية,110111110904,4942,4768,9710
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,جبل الحسين,110111110902,25133,24592,49725
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,جبل اللويبدة,110111110901,6320,6554,12874
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,الرجوم,110111130108,818,650,1468
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,العدلية,110111130109,1146,1056,2202
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,القلعة,110111130101,2971,1918,4889
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,المدرج,110111130104,877,507,1384
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,المهاجرين,110111130107,2083,1525,3608
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,جبل الجوفة,110111130103,2714,2128,4842
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,وادي الحدادة,110111130102,5500,4346,9846
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,وادي السرور,110111130105,942,611,1553
العاصمة,لواء قصبة عمان ,قضاء عمان,اليرموك,اليرموك,الاشرفية,110111150501,20717,19172,39889
العاصمة,لواء قصبة عمان ,قضاء عمان,اليرموك,اليرموك,العودة,110111150502,30099,28046,58145
العاصمة,لواء قصبة عمان ,قضاء عمان,اليرموك,اليرموك,جبل التاج,110111150505,27010,25664,52674
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الاخضر,110111160702,31068,28940,60008
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الحمرانية,110111160703,767,734,1501
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الذراع,110111160701,19815,18132,37947
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الهلال,110111160704,12854,12743,25597
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الياسمين,110111160705,5670,5416,11086
العاصمة,لواء قصبة عمان ,قضاء عمان,راس العين ,راس العين,الروضة,110111120603,18804,17749,36553
العاصمة,لواء قصبة عمان ,قضاء عمان,راس العين ,راس العين,الزهور,110111120602,10027,7483,17510
العاصمة,لواء قصبة عمان ,قضاء عمان,راس العين ,راس العين,النظيف,110111120601,19782,17799,37581
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,الرضوان,110111140803,4198,4692,8890
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,ام اذينة الشرقي,110111140804,3579,3919,7498
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,جبل عمان,110111140801,9618,9003,18621
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,عبدون الجنوبي,110111140805,2127,2262,4389
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,عبدون الشمالي,110111140802,6553,7134,13687
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,الاميرالحسن,110211120401,17522,16563,34085
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,الاميرة عالية,110211120406,9619,9001,18620
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,الربوة,110211120405,12212,11288,23500
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,الصالحية,110211120407,2497,2242,4739
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,المغيرات,110211120408,559,536,1095
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,المنارة,110211120404,16609,15711,32320
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,جبل النصر,110211120403,10480,9926,20406
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,وادي القطار,110211120409,97,15,112
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,الجرن,110211140204,20415,19752,40167
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,الرواق,110211140205,3501,3405,6906
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,القصور,110211140201,12635,11550,24185
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,الهاشمي الجنوبي,110211140207,5258,5050,10308
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,الهاشمي الشمالي,110211140203,31095,29085,60180
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,جبل النزهة,110211140202,22054,20564,42618
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,رغدان,110211140206,12482,12154,24636
العاصمة,لواء ماركا ,قضاء ماركا ,طارق ,طارق,ابو عليا,110210131004,2628,2632,5260
العاصمة,لواء ماركا ,قضاء ماركا ,طارق ,طارق,الخزنة,110210131002,3149,3042,6191
