محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,gis block code,ذكر,انثى, المجموع
العاصمة,لواء سحاب,قضاء سحاب,البيضاء,البيضاء,البيضاء,1.1061E+11,458,451,909
العاصمة,لواء سحاب,قضاء سحاب,الخشافية الجنوبية,الخشافية الجنوبية,الخشافية الجنوبية,1.1061E+11,368,348,716
العاصمة,لواء سحاب,قضاء سحاب,الخشافية الشمالية,الخشافية الشمالية,الخشافية الشمالية,1.1061E+11,2197,2055,4252
العاصمة,لواء سحاب,قضاء سحاب,العبدليه,العبدليه,العبدليه,1.1061E+11,3352,3184,6536
العاصمة,لواء سحاب,قضاء سحاب,الماضونة,الماضونة,الماضونة,1.1061E+11,134,45,179
العاصمة,لواء سحاب,قضاء سحاب,المناخر,المناخر,المناخر,1.1061E+11,221,215,436
العاصمة,لواء سحاب,قضاء سحاب,رميدان,رميدان,رميدان,1.1061E+11,4,2,6
العاصمة,لواء سحاب,قضاء سحاب,زملة العليا,زملة العليا,زملة العليا,1.1061E+11,46,22,68
العاصمة,لواء سحاب,قضاء سحاب,سحاب,سحاب,الاول,1.1061E+11,8436,7081,15517
العاصمة,لواء سحاب,قضاء سحاب,سحاب,سحاب,الثالث,1.1061E+11,10998,9903,20901
العاصمة,لواء سحاب,قضاء سحاب,سحاب,سحاب,الثاني,1.1061E+11,4050,3441,7491
العاصمة,لواء سحاب,قضاء سحاب,قعفور,قعفور,قعفور,1.1061E+11,24,2,26
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,الشميساني,1.10111E+11,9018,9816,18834
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,المدينة الرياضية,1.10111E+11,4942,4768,9710
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,جبل الحسين,1.10111E+11,25133,24592,49725
العاصمة,لواء قصبة عمان ,قضاء عمان,العبدلي ,العبدلي,جبل اللويبدة,1.10111E+11,6320,6554,12874
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,الرجوم,1.10111E+11,818,650,1468
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,العدلية,1.10111E+11,1146,1056,2202
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,القلعة,1.10111E+11,2971,1918,4889
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,المدرج,1.10111E+11,877,507,1384
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,المهاجرين,1.10111E+11,2083,1525,3608
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,جبل الجوفة,1.10111E+11,2714,2128,4842
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,وادي الحدادة,1.10111E+11,5500,4346,9846
العاصمة,لواء قصبة عمان ,قضاء عمان,المدينه,المدينة,وادي السرور,1.10111E+11,942,611,1553
العاصمة,لواء قصبة عمان ,قضاء عمان,اليرموك,اليرموك,الاشرفية,1.10111E+11,20717,19172,39889
العاصمة,لواء قصبة عمان ,قضاء عمان,اليرموك,اليرموك,العودة,1.10111E+11,30099,28046,58145
العاصمة,لواء قصبة عمان ,قضاء عمان,اليرموك,اليرموك,جبل التاج,1.10111E+11,27010,25664,52674
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الاخضر,1.10111E+11,31068,28940,60008
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الحمرانية,1.10111E+11,767,734,1501
